Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population (in 100K), thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
93,2010,1,286.0,10,0.79,18.99961966,56.0,0,44.9,14,72.0,4.18,67.0,1.1,1366.879112,7.18,1.4,1.3,0.485,9.6
18,2013,0,14.0,1,12.06,149.659879,95.0,14,64.5,1,95.0,7.93,95.0,0.1,7674.86559,72.65,1.9,1.9,0.781,14.4
108,2010,1,188.0,0,1.1,29.5207994,9.0,0,46.4,0,94.0,7.47,9.0,0.1,1272.44825,0.53,1.2,1.2,0.492,9.3
108,2013,1,182.0,0,0.01,24.73328608,94.0,0,48.9,0,99.0,5.42,94.0,0.1,188.5159,5.64,1.1,1.2,0.509,9.5
0,2014,1,271.0,64,0.01,73.52358168,62.0,492,18.6,86,58.0,8.18,62.0,0.1,612.696514,3.28,17.5,17.5,0.476,10.0
1,2007,1,9.0,1,5.58,32.24655228,98.0,22,51.7,1,99.0,6.1,98.0,0.1,363.13685,0.3,1.6,1.7,0.703,11.6
130,2012,1,429.0,26,6.09,92.60233636,97.0,0,3.3,39,95.0,6.69,95.0,8.8,955.648466,14.72,6.5,6.4,0.464,9.8
7,2007,0,8.0,0,12.5,7453.8644,85.0,20,53.7,0,85.0,1.4,85.0,0.1,46586.6525,82.95,1.7,1.9,0.86,15.2
54,2000,1,174.0,6,2.61,28.80831098,93.0,0,38.8,8,88.0,6.63,94.0,1.7,188.783165,65.24,2.8,2.7,0.551,9.8
36,2006,1,144.0,8,3.52,19.13983284,96.0,0,47.9,9,92.0,5.86,96.0,0.3,335.786541,13.97,1.4,1.3,0.693,12.8
130,2005,1,717.0,28,4.14,8.7174087,65.0,420,27.5,43,69.0,6.44,68.0,30.3,444.76575,1.29,9.0,9.0,0.406,9.3
18,2007,0,157.0,1,10.89,591.5100978,95.0,1,6.9,1,95.0,6.41,95.0,0.1,5932.899677,75.45,2.1,2.2,0.755,13.5
74,2012,1,129.0,3,0.53,101.609245,97.0,1868,37.4,4,97.0,4.1,97.0,0.1,1779.49641,29.17,7.9,7.7,0.776,12.9
83,2003,1,424.0,85,1.68,42.52689559,76.0,28898,17.7,124,67.0,6.39,85.0,15.3,283.8911588,197.17,4.0,3.9,0.318,6.7
70,2012,0,176.0,0,15.14,1807.071336,93.0,0,6.9,0,93.0,6.67,93.0,0.1,14341.836,29.88,2.7,2.7,0.83,16.5
108,2009,1,192.0,0,1.21,244.3976438,92.0,0,45.5,0,98.0,7.92,92.0,0.1,1158.282672,0.52,1.2,1.2,0.494,9.3
66,2014,0,156.0,0,0.01,1542.635979,92.0,36,6.7,0,92.0,5.88,92.0,0.1,15725.1374,19.94,2.2,2.2,0.822,16.0
71,2008,0,8.0,0,11.53,18961.3486,94.0,1,58.4,0,96.0,7.34,99.0,0.1,114293.8433,0.49,0.9,0.9,0.887,13.5
88,2003,1,198.0,4,3.77,2.542436908,86.0,0,44.9,5,86.0,6.12,86.0,0.3,115.565314,5.25,2.1,2.0,0.583,11.0
31,2008,1,99.0,1,4.22,1859.095621,89.0,0,53.4,1,89.0,9.1,9.0,0.1,6911.136136,4.43,1.9,1.8,0.74,12.9
70,2002,0,22.0,0,11.0,561.9168642,94.0,103,57.5,0,97.0,6.4,95.0,0.1,4146.987928,3.44,3.3,3.3,0.77,15.3
10,2004,1,247.0,1,12.05,42.33443901,99.0,2,56.2,1,99.0,6.59,99.0,0.1,2378.33927,9.73,2.4,2.5,0.703,14.1
42,2000,1,221.0,0,2.05,31.25834616,98.0,0,5.2,0,91.0,3.87,9.0,0.1,276.1338,8.11,4.3,4.0,0.681,13.1
16,2004,1,652.0,2,4.9,469.5823898,91.0,1,32.2,4,96.0,5.56,96.0,28.4,4896.583835,1.83,1.5,1.4,0.58,11.8
0,2005,1,291.0,85,0.02,1.388647732,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,25.2941299,2.58,19.3,19.5,0.396,7.9
1,2008,1,1.0,1,5.61,36.62206845,99.0,0,52.6,1,99.0,5.87,99.0,0.1,437.539647,29.47,1.6,1.6,0.713,12.0
1,2004,1,17.0,1,4.54,221.8428,99.0,7,48.9,1,98.0,6.38,97.0,0.1,2416.588235,3.27,1.8,1.9,0.681,10.9
62,2000,1,133.0,4,0.49,227.296617,93.0,32,54.0,4,94.0,9.65,91.0,0.1,1657.889256,0.51,4.0,4.0,0.7,12.6
7,2010,0,75.0,0,12.1,7423.228774,86.0,52,55.2,0,86.0,11.17,86.0,0.1,46657.629,8.36,1.7,1.9,0.872,15.4
62,2004,1,125.0,4,0.54,32.52523612,95.0,21,57.0,4,95.0,9.5,95.0,0.1,261.456882,55.36,3.9,3.8,0.723,13.5
31,2004,1,12.0,1,4.09,1043.10795,89.0,0,49.3,1,9.0,7.8,9.0,0.1,4425.57467,4.19,2.1,2.0,0.719,12.2
130,2004,1,723.0,27,4.36,0.0,68.0,31,27.1,42,67.0,7.13,65.0,33.6,454.366654,127.78,9.4,9.4,0.407,9.2
31,2009,1,96.0,1,4.07,24.88720369,87.0,0,54.4,1,8.0,9.69,86.0,0.1,689.396224,44.88,1.9,1.8,0.747,13.1
7,2009,0,77.0,0,11.3,8053.557638,83.0,49,54.7,0,83.0,11.19,83.0,0.1,47654.18721,83.43,1.7,1.9,0.87,15.3
16,2000,1,647.0,2,5.37,250.8916484,86.0,2672,29.9,4,97.0,4.64,97.0,38.8,3349.68823,1.73,12.3,12.2,0.559,11.7
63,2010,1,236.0,7,6.83,11.1516268,99.0,4,49.2,8,98.0,4.42,99.0,0.1,97.649972,163.22,2.3,2.5,0.763,14.5
67,2009,1,95.0,1,1.62,8.140373615,81.0,22,63.0,1,75.0,7.42,81.0,0.1,84.268878,41.83,4.7,4.7,0.746,13.2
126,2009,1,118.0,0,6.67,1871.736563,95.0,0,6.7,1,95.0,8.78,95.0,0.1,9415.17386,33.63,1.5,1.5,0.774,15.5
92,2001,1,124.0,2,5.43,7.320514461,98.0,0,46.9,2,95.0,7.72,99.0,0.1,446.372833,3.9,2.3,2.3,0.721,12.4
35,2009,1,157.0,6,6.05,587.8828228,8.0,0,52.6,8,85.0,4.41,82.0,1.2,4952.67753,97.68,3.4,3.3,0.695,12.9
66,2003,0,29.0,0,8.24,478.0644911,98.0,0,56.3,0,98.0,6.15,98.0,0.1,5134.95694,22.88,2.6,2.6,0.761,15.2
108,2000,1,235.0,0,0.71,4.24926073,81.0,0,37.9,0,88.0,4.56,86.0,0.1,154.518572,0.41,1.4,1.4,0.455,7.2
108,2011,1,186.0,0,0.99,229.6687488,99.0,0,47.2,0,99.0,5.8,99.0,0.1,1642.837974,5.4,1.2,1.2,0.497,9.4
108,2007,1,2.0,0,0.85,28.90135229,9.0,0,43.8,0,93.0,6.42,9.0,0.1,146.931125,0.49,1.2,1.2,0.482,9.0
88,2010,1,154.0,3,3.38,302.7045411,98.0,0,5.2,3,99.0,6.58,98.0,0.1,1526.497938,57.38,1.9,1.8,0.614,11.4
66,2012,0,163.0,0,10.21,1356.022164,9.0,3,59.8,0,91.0,5.91,91.0,0.1,13822.8559,2.34,2.2,2.2,0.812,15.5
67,2007,1,98.0,1,1.72,8.906931168,8.0,373,61.9,1,75.0,8.9,8.0,0.1,614.271115,4.86,4.7,4.6,0.731,12.9
66,2006,0,229.0,0,10.4,1099.248837,94.0,7,57.4,0,96.0,6.8,96.0,0.1,9667.9757,22.18,2.4,2.5,0.807,16.2
16,2010,1,349.0,2,5.99,547.0386679,95.0,853,35.2,3,96.0,5.64,95.0,6.2,6346.15624,2.15,8.0,7.8,0.669,12.3
7,2006,0,81.0,0,12.4,69.92899358,83.0,23,53.2,0,83.0,1.35,83.0,0.1,443.99361,82.69,1.7,1.9,0.854,15.0
18,2009,0,152.0,1,10.93,661.5144334,96.0,2249,62.1,1,94.0,6.78,94.0,0.1,6955.987733,74.44,2.0,2.1,0.768,13.8
35,2013,1,157.0,6,5.93,97.52211538,8.0,0,56.8,7,82.0,4.12,83.0,0.3,627.55544,12.81,3.3,3.2,0.709,13.2
36,2014,1,121.0,6,3.82,79.11626341,83.0,0,53.5,7,84.0,9.16,83.0,0.1,6432.216537,15.93,1.2,1.1,0.737,14.0
42,2003,1,22.0,0,1.76,253.8196705,99.0,305,53.2,0,95.0,3.35,94.0,0.1,2835.973972,8.17,4.2,3.9,0.689,13.3
93,2009,1,288.0,11,0.82,20.53327531,66.0,0,44.2,14,79.0,4.36,73.0,1.1,1166.66337,69.47,1.4,1.3,0.477,9.2
74,2008,1,132.0,3,0.47,438.4519214,97.0,334,33.4,4,97.0,3.47,97.0,0.1,8513.629541,27.11,8.5,8.3,0.747,12.5
31,2014,1,96.0,1,3.45,384.5129138,91.0,1,59.5,1,91.0,9.31,91.0,0.1,1647.44179,47.58,1.7,1.7,0.768,13.9
88,2006,1,17.0,3,3.69,21.41123529,88.0,0,47.1,4,88.0,6.33,88.0,0.3,124.992617,5.45,2.0,1.9,0.597,11.0
93,2007,1,295.0,11,0.71,85.7175381,61.0,0,42.7,14,72.0,4.4,71.0,1.4,956.668952,66.28,1.4,1.3,0.461,8.6
1,2005,1,15.0,1,5.16,26.99312143,98.0,6,49.9,1,97.0,6.12,98.0,0.1,279.142931,3.11,1.8,1.8,0.685,10.8
92,2005,1,122.0,1,5.53,623.9100503,92.0,0,5.3,2,88.0,7.48,92.0,0.1,4916.54886,3.33,2.1,2.1,0.74,12.9
31,2005,1,97.0,1,4.1,1002.833273,9.0,1,5.3,1,91.0,7.74,91.0,0.1,4697.11135,42.48,2.0,2.0,0.723,12.4
42,2008,1,26.0,0,1.95,81.04656111,99.0,0,57.3,0,99.0,3.68,99.0,0.1,4177.657789,0.84,4.0,3.7,0.7,14.3
99,2007,0,154.0,3,10.6,919.1673438,99.0,353,55.0,3,96.0,5.21,96.0,0.1,8214.185378,28.83,3.2,3.6,0.766,14.1
7,2004,0,86.0,0,12.1,5316.877456,83.0,15,52.2,0,83.0,1.56,83.0,0.1,36693.4262,81.72,1.7,1.9,0.841,14.7
35,2012,1,174.0,6,5.93,857.1307037,74.0,0,55.8,7,85.0,4.26,85.0,0.4,5968.876767,1.15,3.3,3.2,0.706,13.1
16,2002,1,699.0,2,6.41,6.3300072,88.0,7,31.1,4,97.0,6.47,97.0,34.6,355.618382,17.8,11.4,11.3,0.558,11.9
126,2004,1,122.0,1,5.66,882.356362,94.0,0,57.7,1,95.0,11.59,94.0,0.1,4117.38853,3.32,1.7,1.6,0.75,15.5
36,2000,1,163.0,9,3.99,84.17527008,36.0,0,43.6,11,83.0,3.38,87.0,0.3,1451.29776,126.29,1.6,1.5,0.668,12.4
121,2003,1,17.0,4,1.34,321.7694175,92.0,22,5.6,4,95.0,5.36,95.0,0.1,2761.969249,99.4,6.4,6.3,0.667,13.5
63,2004,1,287.0,8,6.55,33.91660183,99.0,2204,45.8,9,99.0,3.95,82.0,0.1,2874.288291,15.13,2.5,2.6,0.725,13.5
1,2014,1,8.0,0,4.51,428.7490668,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,2.89,1.2,1.3,0.761,14.2
92,2002,1,125.0,1,5.52,78.80940216,98.0,0,47.8,2,99.0,8.3,99.0,0.2,4126.14671,31.49,2.3,2.2,0.725,12.6
0,2008,1,287.0,80,0.03,25.87392536,64.0,1599,15.7,110,64.0,8.33,64.0,0.1,373.3611163,27.29,18.8,18.9,0.433,8.7
35,2007,1,164.0,6,6.05,74.8217488,81.0,0,5.4,8,86.0,4.34,85.0,1.6,4647.31359,9.54,3.4,3.4,0.685,12.7
54,2007,1,16.0,5,3.16,222.4823338,93.0,0,44.3,6,94.0,7.89,94.0,0.7,1592.572182,7.78,2.4,2.3,0.59,10.9
121,2012,1,13.0,3,1.3,585.8776761,97.0,48,58.3,3,97.0,7.18,97.0,0.1,4137.55421,18.87,6.4,6.3,0.717,14.6
7,2003,0,88.0,0,12.2,504.4308735,83.0,90,51.7,0,84.0,1.48,84.0,0.1,3212.9355,81.21,1.7,1.9,0.837,14.7
12,2014,1,177.0,0,6.58,670.0920883,95.0,0,5.1,0,95.0,5.79,95.0,0.2,4852.223666,3.52,3.4,3.4,0.705,12.8
10,2009,1,226.0,0,14.09,434.7985025,98.0,0,58.7,1,98.0,6.9,96.0,0.1,5176.172649,9.57,2.1,2.2,0.771,15.4
70,2006,0,229.0,0,12.7,116.504961,95.0,1,58.7,0,94.0,6.2,94.0,0.1,924.642548,3.27,3.0,3.0,0.807,16.4
92,2003,1,126.0,1,5.52,58.45976019,98.0,0,48.6,2,95.0,7.6,98.0,0.1,4267.13578,3.29,2.2,2.2,0.728,12.8
74,2010,1,131.0,3,0.49,65.56659662,96.0,73,35.3,4,96.0,3.99,96.0,0.1,971.356987,281.12,8.2,8.0,0.764,12.8
93,2000,1,335.0,11,0.73,62.56273841,57.0,7135,37.5,14,51.0,3.98,59.0,1.1,631.9468526,55.72,1.6,1.5,0.418,6.2
18,2003,0,155.0,1,11.19,32.38616103,96.0,0,58.6,1,96.0,7.43,96.0,0.1,271.46824,77.75,2.3,2.4,0.729,12.9
99,2001,0,179.0,4,9.78,180.1095132,98.0,10,51.9,5,99.0,4.36,99.0,0.1,1839.72945,22.13,3.8,4.2,0.708,11.7
1,2010,1,91.0,1,5.28,41.82275719,99.0,10,54.3,1,99.0,5.34,99.0,0.1,494.358832,2.91,1.4,1.5,0.725,12.5
63,2013,1,28.0,5,6.48,26.4072659,99.0,73,51.4,6,98.0,4.3,98.0,0.1,1389.8561,17.35,2.4,2.5,0.782,15.0
16,2014,1,268.0,2,0.01,662.802194,95.0,1,37.3,2,96.0,5.41,95.0,2.3,7497.762376,21.69,6.7,6.4,0.697,12.6
42,2002,1,22.0,0,1.85,206.071686,99.0,304,52.2,0,94.0,3.48,93.0,0.1,2259.55796,8.16,4.2,3.9,0.687,13.3
12,2013,1,18.0,0,6.56,629.2018591,95.0,0,49.3,0,95.0,5.79,95.0,0.2,4688.538443,3.44,3.4,3.4,0.706,12.9
108,2006,1,2.0,0,0.99,240.4851202,99.0,0,43.0,0,99.0,6.66,99.0,0.1,948.6592511,4.81,1.3,1.3,0.47,8.4
99,2008,0,159.0,2,11.9,128.0805702,97.0,12,55.6,3,95.0,5.33,96.0,0.1,1136.47356,25.38,3.1,3.5,0.78,14.7
37,2010,1,191.0,2,2.36,469.3904193,89.0,0,52.8,2,89.0,6.91,89.0,0.3,3474.392445,61.65,1.7,1.6,0.662,12.9
63,2007,1,288.0,8,7.44,499.730412,94.0,13,47.3,9,94.0,3.19,93.0,0.1,6771.414797,154.84,2.4,2.5,0.754,14.7
80,2007,1,26.0,2,3.79,126.698109,98.0,12,43.9,2,99.0,5.6,95.0,0.1,1634.81431,2.59,2.2,2.4,0.661,13.0
92,2014,1,119.0,1,6.74,1842.463782,8.0,0,57.1,1,8.0,8.3,8.0,0.1,12593.7374,3.94,1.9,1.8,0.78,13.0
80,2001,1,266.0,2,2.87,61.84921903,95.0,10677,39.1,3,95.0,5.45,95.0,0.1,524.145924,24.2,2.5,2.6,0.588,9.4
67,2006,1,1.0,1,1.82,534.5795695,78.0,956,61.4,1,75.0,8.83,78.0,0.1,5372.65899,0.46,4.7,4.6,0.733,13.2
67,2004,1,13.0,1,2.1,618.3614858,75.0,213,6.2,1,74.0,8.91,75.0,0.1,5424.22356,38.63,4.7,4.6,0.0,14.2
99,2004,0,165.0,4,9.82,431.3250367,99.0,117,53.4,4,97.0,5.43,97.0,0.1,3552.92452,214.52,3.4,3.9,0.733,12.9
31,2010,1,16.0,1,3.58,2377.010299,89.0,0,55.5,1,93.0,9.66,88.0,0.1,8199.414621,4.55,1.8,1.8,0.749,13.3
62,2012,1,115.0,4,0.41,67.70171064,98.0,3,63.2,4,98.0,8.0,98.0,0.1,387.753211,79.93,3.9,3.9,0.735,12.9
99,2013,0,138.0,2,9.59,1230.748231,96.0,1159,59.2,2,88.0,5.6,92.0,0.1,9585.266593,199.84,2.7,2.9,0.794,14.7
130,2008,1,632.0,30,3.56,20.84342867,75.0,0,28.6,46,75.0,4.96,75.0,20.5,325.678573,135.58,7.8,7.8,0.421,9.7
62,2008,1,119.0,4,0.61,535.2786404,97.0,2,6.1,4,98.0,8.78,97.0,0.1,3385.69665,64.9,3.8,3.8,0.739,13.6
42,2005,1,214.0,0,2.02,64.39203443,99.0,0,55.1,0,97.0,3.61,96.0,0.1,3658.63832,8.22,4.1,3.8,0.699,13.9
70,2008,0,224.0,0,13.3,1888.149904,96.0,1,59.3,0,96.0,6.61,96.0,0.1,14961.56818,31.98,2.9,2.9,0.82,16.5
36,2013,1,121.0,6,3.77,59.12850204,87.0,0,52.8,8,87.0,7.29,87.0,0.1,674.9829,156.62,1.3,1.1,0.725,13.4
37,2011,1,197.0,2,2.37,549.2783081,89.0,0,53.4,2,9.0,6.81,89.0,0.3,3736.58713,6.19,1.7,1.6,0.666,13.0
126,2006,1,117.0,1,6.58,1712.225506,95.0,0,58.9,1,95.0,11.17,95.0,0.1,5877.87678,3.33,1.6,1.6,0.756,15.2
121,2000,1,112.0,4,1.21,264.7842196,94.0,47,48.1,5,97.0,5.4,97.0,0.1,2213.91488,96.99,6.6,6.5,0.646,12.8
0,2012,1,272.0,69,0.01,78.1842153,67.0,2787,17.6,93,67.0,8.52,67.0,0.1,669.959,36.97,17.9,18.0,0.463,9.8
67,2000,1,112.0,1,2.26,404.3879434,83.0,5,57.9,1,83.0,1.86,83.0,0.1,5334.93329,32.35,4.9,4.8,0.0,14.9
66,2011,0,169.0,0,10.14,24.70841046,89.0,1,59.4,0,92.0,6.1,92.0,0.1,1372.68947,0.26,2.2,2.3,0.81,15.8
88,2012,1,157.0,2,3.63,334.8174246,98.0,0,51.7,3,99.0,8.4,98.0,0.1,1792.3845,5.88,1.8,1.7,0.625,11.5
83,2002,1,416.0,87,2.16,40.82597077,76.0,7155,17.3,127,76.0,6.45,76.0,14.5,262.884551,191.4,4.0,4.0,0.311,6.2
54,2012,1,151.0,4,3.11,363.5721644,97.0,0,48.4,4,97.0,9.78,97.0,0.4,2178.38325,8.56,2.2,2.1,0.614,11.6
88,2005,1,194.0,3,3.7,218.5716179,86.0,0,46.4,4,87.0,6.11,86.0,0.3,1175.116225,53.79,2.0,1.9,0.592,11.0
42,2011,1,197.0,0,0.01,401.7931045,99.0,0,59.5,0,99.0,4.6,99.0,0.1,4353.121392,0.87,4.0,3.7,0.709,14.7
12,2006,1,184.0,0,6.48,387.3324928,98.0,0,44.4,0,98.0,4.4,98.0,0.6,4187.3783,0.3,3.6,3.5,0.692,12.3
83,2012,1,48.0,64,1.19,49.90987221,76.0,145,21.3,90,73.0,5.58,76.0,6.9,566.513873,25.68,3.6,3.5,0.4,9.2
10,2013,1,23.0,0,14.66,1109.854619,98.0,16,61.1,1,98.0,6.7,98.0,0.1,7978.825443,94.66,2.0,2.0,0.796,15.7
66,2001,0,228.0,0,6.68,332.2751709,96.0,1,55.7,0,97.0,6.17,97.0,0.1,3572.8513,2.34,2.8,2.8,0.728,14.2
16,2007,1,436.0,2,6.21,512.5887995,93.0,1,33.7,3,96.0,4.71,96.0,13.4,5714.47937,19.14,9.2,9.0,0.63,12.1
63,2011,1,224.0,7,6.63,179.170133,99.0,127,49.9,7,99.0,4.6,99.0,0.1,11634.42422,1.66,2.3,2.5,0.766,14.4
99,2002,0,178.0,4,9.62,37.82275031,99.0,14,52.4,5,98.0,4.57,98.0,0.1,2124.873613,21.73,3.7,4.1,0.714,12.0
92,2013,1,118.0,1,6.89,1694.467075,8.0,0,56.3,1,81.0,8.9,8.0,0.1,11685.97983,38.38,1.9,1.9,0.773,12.9
66,2008,0,199.0,0,11.84,253.4022338,93.0,3,58.1,0,94.0,6.63,94.0,0.1,16348.53121,21.77,2.3,2.4,0.819,16.3
99,2000,0,175.0,4,10.16,152.6368899,98.0,35,51.4,5,99.0,4.33,99.0,0.1,1668.162731,224.43,4.0,4.3,0.703,11.5
108,2004,1,29.0,0,1.18,195.5259417,81.0,0,41.3,0,89.0,5.64,9.0,0.1,818.442619,4.58,1.3,1.3,0.459,8.1
80,2006,1,271.0,2,2.91,122.1206485,98.0,26,43.0,2,98.0,4.68,99.0,0.1,1334.651896,2.56,2.2,2.4,0.649,12.7
88,2008,1,169.0,3,3.64,275.064434,97.0,0,48.6,3,97.0,6.98,97.0,0.2,1518.85386,5.59,1.9,1.8,0.607,11.1
88,2014,1,148.0,2,3.55,473.1238124,98.0,0,53.2,3,99.0,9.4,98.0,0.1,1975.46477,6.14,1.8,1.7,0.636,11.6
1,2009,1,91.0,1,5.79,348.0559517,98.0,0,53.5,1,98.0,5.79,98.0,0.1,4114.136545,29.28,1.5,1.6,0.721,12.2
126,2011,1,111.0,0,5.97,417.9117441,95.0,0,61.8,1,95.0,8.55,95.0,0.1,14166.4998,33.86,1.5,1.5,0.78,15.5
10,2007,1,226.0,1,14.22,464.077513,91.0,1,57.7,1,9.0,6.44,95.0,0.1,4735.484827,9.57,2.2,2.3,0.739,14.9
62,2006,1,121.0,4,0.59,313.3626015,98.0,1,58.6,4,98.0,8.8,98.0,0.1,2537.349,59.34,3.9,3.8,0.733,13.7
37,2006,1,211.0,3,2.77,57.74562629,96.0,0,5.1,3,96.0,6.68,96.0,0.2,362.951768,6.56,1.8,1.7,0.651,12.9
35,2001,1,188.0,7,6.13,340.0239945,66.0,113,44.1,9,71.0,5.59,72.0,2.5,2862.154836,86.97,3.8,3.6,0.656,12.3
10,2011,1,232.0,0,17.31,846.9113071,98.0,50,59.9,1,98.0,4.92,98.0,0.1,6519.71753,94.73,2.0,2.1,0.787,15.5
36,2011,1,131.0,7,3.99,344.7412164,88.0,257,51.4,8,85.0,5.92,88.0,0.1,5223.351763,151.77,1.3,1.2,0.71,13.2
12,2008,1,181.0,0,7.22,51.25232422,94.0,0,45.7,0,94.0,5.9,94.0,0.1,447.22796,0.36,3.5,3.4,0.699,12.8
70,2005,0,222.0,0,12.3,913.699529,95.0,1,58.4,0,93.0,5.83,94.0,0.1,7863.1629,33.23,3.0,3.1,0.798,16.2
66,2013,0,161.0,0,10.37,150.3116884,94.0,0,6.2,0,94.0,5.67,94.0,0.1,1532.22924,2.13,2.2,2.2,0.814,15.4
42,2010,1,2.0,0,2.25,62.08343533,99.0,0,58.7,0,99.0,4.23,99.0,0.1,3651.966784,0.86,4.0,3.7,0.706,14.6
36,2012,1,127.0,7,3.92,41.88087712,88.0,72,52.1,8,85.0,6.48,87.0,0.1,572.14313,154.2,1.3,1.2,0.717,13.3
42,2013,1,192.0,0,0.01,460.6487805,99.0,0,61.1,0,99.0,4.26,99.0,0.1,4763.68956,8.8,4.0,3.7,0.719,15.0
93,2003,1,321.0,11,0.59,124.3789361,67.0,3863,39.6,14,62.0,6.79,68.0,1.4,588.3582595,0.62,1.5,1.4,0.433,7.2
62,2005,1,127.0,4,0.55,27.44252286,95.0,28,57.8,4,95.0,8.88,95.0,0.1,223.83787,57.14,3.9,3.8,0.73,13.8
99,2005,0,162.0,3,7.68,615.4030781,98.0,5043,53.9,4,97.0,5.47,97.0,0.1,4676.315183,213.2,3.3,3.8,0.745,13.4
35,2006,1,178.0,7,6.2,352.9551269,84.0,0,49.3,8,88.0,4.34,89.0,1.8,3836.468771,93.71,3.5,3.4,0.677,12.6
0,2002,1,3.0,88,0.01,16.88735091,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,187.84595,219.8,19.9,2.2,0.341,6.2
63,2012,1,214.0,6,6.82,235.3566066,95.0,55,5.6,7,98.0,4.32,99.0,0.1,12387.18982,167.91,2.4,2.5,0.774,14.7
93,2002,1,327.0,11,0.61,110.9803062,6.0,17620,38.9,14,54.0,7.69,61.0,1.4,511.665773,58.62,1.5,1.5,0.428,6.9
70,2004,0,24.0,0,12.1,76.36187737,94.0,1,58.1,0,9.0,5.67,94.0,0.1,676.966998,3.38,3.1,3.1,0.792,16.3
