Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population (in 100K), thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
102,2003,1,169.0,0,4.17,24.99717134,83.0,0,68.2,0,82.0,4.71,83.0,0.1,197.29417,1.78,0.2,0.2,0.659,12.3
46,2010,0,76.0,2,11.2,7584.078579,88.0,780,59.9,3,94.0,11.25,95.0,0.1,41785.55691,81.78,1.1,1.1,0.907,16.7
47,2008,1,275.0,41,1.78,161.0106435,93.0,82,24.2,61,92.0,4.85,93.0,2.2,1224.41554,23.3,7.5,7.4,0.53,9.8
125,2008,1,273.0,5,9.46,456.4586664,84.0,48,57.6,6,91.0,6.63,9.0,0.4,3891.37823,4.63,2.5,2.6,0.73,14.9
29,2010,1,15.0,12,4.28,113.2436346,88.0,0,54.2,15,88.0,6.76,88.0,0.1,625.65544,45.92,2.2,2.0,0.695,12.8
108,2001,1,227.0,0,0.7,325.1114746,83.0,0,38.7,0,88.0,6.44,84.0,0.1,944.81684,4.24,1.4,1.4,0.442,6.6
65,2005,1,213.0,0,0.6,111.7392134,5.0,0,72.1,0,74.0,1.6,79.0,0.1,1214.556667,0.92,0.2,0.2,0.0,12.2
126,2009,1,118.0,0,6.67,1871.736563,95.0,0,6.7,1,95.0,8.78,95.0,0.1,9415.17386,33.63,1.5,1.5,0.774,15.5
54,2013,1,15.0,4,3.11,311.7553193,97.0,0,49.3,4,97.0,9.15,97.0,0.4,2136.77395,86.58,2.2,2.1,0.614,11.6
80,2012,1,231.0,1,0.01,253.8285861,99.0,0,49.2,2,99.0,4.22,99.0,0.1,4368.82248,28.14,2.2,2.3,0.712,14.7
30,2010,1,246.0,2,0.15,47.30421873,74.0,0,21.6,2,82.0,5.82,74.0,0.1,769.1742883,6.9,7.1,6.9,0.476,10.5
121,2005,1,14.0,3,1.37,379.5139945,97.0,15,52.2,4,98.0,5.57,98.0,0.1,3194.562243,1.12,6.4,6.3,0.683,13.9
127,2003,1,183.0,25,1.54,28.52135777,99.0,85,36.4,30,99.0,5.17,98.0,0.3,396.129969,25.57,3.3,3.3,0.607,11.3
73,2007,1,559.0,37,1.18,4.269511381,87.0,143,16.6,59,88.0,9.31,87.0,19.3,32.2227274,13.85,7.1,7.0,0.387,9.7
74,2012,1,129.0,3,0.53,101.609245,97.0,1868,37.4,4,97.0,4.1,97.0,0.1,1779.49641,29.17,7.9,7.7,0.776,12.9
130,2010,1,527.0,29,5.21,53.30858081,9.0,9696,29.4,44,89.0,5.37,89.0,15.7,713.63562,14.86,7.1,7.0,0.436,10.0
31,2011,1,98.0,1,3.41,2429.854745,84.0,0,56.5,1,82.0,9.73,85.0,0.1,9186.59639,0.46,1.8,1.7,0.752,13.4
58,2012,0,69.0,0,11.49,6616.695125,95.0,107,6.5,0,95.0,8.32,95.0,0.1,49231.36254,45.87,0.3,0.2,0.895,18.5
99,2011,0,139.0,2,9.1,10.32588862,96.0,4189,57.7,2,89.0,5.53,89.0,0.1,92.277825,21.48,2.9,3.1,0.798,15.7
11,2005,0,89.0,0,12.27,5068.214488,77.0,26,6.2,1,97.0,9.24,97.0,0.1,36967.28292,14.79,0.8,0.8,0.861,15.7
1,2014,1,8.0,0,4.51,428.7490668,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,2.89,1.2,1.3,0.761,14.2
110,2000,0,86.0,2,11.12,1934.398154,77.0,152,57.6,2,95.0,7.21,95.0,0.1,14676.769,45.68,0.6,0.5,0.82,15.7
75,2003,1,299.0,59,0.54,6.660451777,79.0,232,17.0,106,67.0,6.25,63.0,2.2,391.791281,1.25,1.3,1.2,0.318,5.2
98,2004,0,99.0,0,13.45,276.0999798,94.0,5,53.3,1,95.0,9.84,95.0,0.1,1845.5881,14.84,0.7,0.6,0.792,15.9
93,2002,1,327.0,11,0.61,110.9803062,6.0,17620,38.9,14,54.0,7.69,61.0,1.4,511.665773,58.62,1.5,1.5,0.428,6.9
108,2011,1,186.0,0,0.99,229.6687488,99.0,0,47.2,0,99.0,5.8,99.0,0.1,1642.837974,5.4,1.2,1.2,0.497,9.4
16,2012,1,3.0,2,0.01,12.83447357,95.0,7,36.2,3,96.0,6.27,95.0,4.4,729.231453,2.89,7.3,7.0,0.687,12.5
16,2008,1,427.0,2,6.56,476.8625872,94.0,0,34.2,3,96.0,5.55,96.0,12.7,5623.379566,19.46,8.8,8.6,0.646,12.1
9,2008,1,147.0,144,0.01,42.48865034,96.0,2660,14.0,186,96.0,2.85,96.0,0.1,615.7775411,148.86,19.3,19.9,0.52,8.6
48,2009,1,78.0,0,9.08,372.6854142,95.0,2,63.1,0,99.0,9.76,99.0,0.1,2971.973,1.12,0.8,0.7,0.857,16.2
5,2000,1,142.0,1,2.9,32.75626853,55.0,15,47.1,1,96.0,6.25,93.0,0.1,622.7427477,3.7,2.1,2.2,0.639,11.2
46,2009,0,79.0,2,11.22,7641.270645,88.0,574,59.5,3,95.0,11.4,96.0,0.1,41732.7725,8.19,1.1,1.1,0.906,16.7
46,2004,0,86.0,3,11.83,5842.374765,88.0,121,57.1,3,96.0,1.37,96.0,0.1,34165.9343,82.52,1.1,1.1,0.877,16.4
95,2011,1,133.0,9,4.83,759.5380695,91.0,0,52.9,12,91.0,4.93,91.0,0.2,5771.565878,297.6,1.1,1.1,0.721,13.4
79,2011,1,124.0,34,5.3,1117.196097,98.0,3,6.8,39,97.0,6.4,97.0,0.1,9834.472689,1.2,1.6,1.6,0.745,12.6
66,2001,0,228.0,0,6.68,332.2751709,96.0,1,55.7,0,97.0,6.17,97.0,0.1,3572.8513,2.34,2.8,2.8,0.728,14.2
72,2010,1,248.0,32,1.03,76.60442169,7.0,1,18.0,45,7.0,4.86,7.0,0.5,412.739341,21.15,7.6,7.5,0.503,10.2
74,2001,1,144.0,4,0.53,210.2417002,95.0,2198,27.0,5,95.0,3.4,96.0,0.1,3915.11546,23.7,9.7,9.4,0.725,11.9
70,2013,0,178.0,0,15.04,1968.816817,93.0,35,61.4,0,93.0,6.59,93.0,0.1,15712.82376,29.58,2.7,2.7,0.834,16.4
7,2004,0,86.0,0,12.1,5316.877456,83.0,15,52.2,0,83.0,1.56,83.0,0.1,36693.4262,81.72,1.7,1.9,0.841,14.7
66,2008,0,199.0,0,11.84,253.4022338,93.0,3,58.1,0,94.0,6.63,94.0,0.1,16348.53121,21.77,2.3,2.4,0.819,16.3
86,2011,1,172.0,22,0.27,112.1229028,92.0,2359,16.9,27,92.0,6.73,92.0,0.2,692.1166842,273.27,16.5,16.9,0.529,12.0
80,2002,1,263.0,2,2.43,55.60878216,98.0,1205,39.8,2,98.0,5.81,98.0,0.1,571.51883,24.44,2.4,2.5,0.599,10.1
49,2012,1,189.0,11,2.02,484.7187892,96.0,0,48.6,13,94.0,6.33,96.0,0.4,3299.65139,15.27,1.2,1.2,0.616,10.6
93,2011,1,285.0,10,0.88,23.40731286,66.0,0,45.7,13,69.0,4.94,72.0,1.0,177.867119,72.69,1.3,1.3,0.494,9.9
21,2003,1,144.0,0,4.16,209.0865,66.0,0,23.2,0,93.0,5.0,92.0,0.9,1768.92132,0.46,8.9,8.9,0.572,11.3
121,2012,1,13.0,3,1.3,585.8776761,97.0,48,58.3,3,97.0,7.18,97.0,0.1,4137.55421,18.87,6.4,6.3,0.717,14.6
29,2011,1,144.0,12,4.37,184.3073618,85.0,6,55.0,14,85.0,6.64,85.0,0.1,7227.73968,46.47,2.2,2.0,0.7,13.0
80,2009,1,235.0,1,4.61,134.1678932,97.0,8,45.9,2,96.0,5.29,95.0,0.1,1717.898761,26.68,2.2,2.3,0.686,13.8
10,2009,1,226.0,0,14.09,434.7985025,98.0,0,58.7,1,98.0,6.9,96.0,0.1,5176.172649,9.57,2.1,2.2,0.771,15.4
69,2011,1,266.0,9,3.72,60.44658161,77.0,279,25.0,12,77.0,11.23,77.0,1.5,379.689583,0.47,7.2,7.0,0.406,9.5
21,2006,1,129.0,0,4.25,26.45133197,95.0,0,24.9,0,97.0,5.11,96.0,0.6,234.28992,0.49,8.3,8.3,0.596,11.9
33,2002,0,68.0,0,11.68,1128.050886,88.0,0,53.8,0,98.0,6.12,98.0,0.1,16372.29152,9.77,0.9,1.0,0.805,12.5
47,2007,1,28.0,41,1.25,3.181373629,94.0,6,23.6,61,94.0,5.3,94.0,2.6,19.686718,2.27,7.7,7.6,0.519,9.1
23,2013,1,364.0,48,0.01,63.07890158,89.0,760,27.8,73,88.0,4.29,89.0,4.0,1365.34419,216.56,5.8,5.8,0.501,10.4
33,2001,0,69.0,0,10.16,100.8086193,89.0,0,53.3,0,97.0,5.78,97.0,0.1,1562.92433,0.96,0.9,1.0,0.8,12.4
61,2003,1,166.0,1,3.48,155.5884677,36.0,0,44.5,1,99.0,4.56,96.0,2.3,3465.221998,27.13,1.9,1.8,0.694,11.9
77,2010,1,214.0,8,0.01,8.353074798,64.0,1292,27.4,12,52.0,3.28,64.0,1.2,123.383675,3.7,8.7,8.5,0.484,7.6
24,2012,1,68.0,2,8.3,9748.636237,7.0,10,65.3,2,99.0,1.78,95.0,0.1,52496.69487,34.76,0.5,0.5,0.907,15.9
71,2003,0,92.0,0,12.61,10111.38928,95.0,1,55.8,0,99.0,7.67,98.0,0.1,65445.8853,0.45,1.0,0.9,0.865,13.6
61,2014,1,133.0,1,3.83,427.3054534,92.0,0,53.5,1,93.0,5.36,92.0,0.5,4855.743789,2.86,1.8,1.7,0.727,12.8
10,2000,1,247.0,1,12.98,24.24947846,7.0,21,54.4,1,99.0,6.13,99.0,0.1,1276.28834,9.98,2.7,2.8,0.675,13.1
106,2008,1,184.0,0,6.33,701.8526364,99.0,0,31.8,0,99.0,2.64,99.0,0.1,11122.8627,0.87,5.9,6.3,0.739,13.2
99,2010,0,153.0,2,9.0,983.2518091,98.0,193,56.9,2,94.0,5.83,94.0,0.1,8297.483621,22.47,3.0,3.2,0.797,15.8
79,2000,1,129.0,55,4.99,10.22840118,97.0,30,52.4,66,97.0,4.98,97.0,0.1,672.92113,117.2,2.0,1.9,0.694,11.4
1,2013,1,84.0,0,4.76,430.8769785,99.0,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,2.9,1.3,1.4,0.759,14.2
105,2010,1,128.0,1,9.65,774.4396617,89.0,20,57.0,1,91.0,1.9,91.0,0.1,5411.87744,72.91,2.2,2.3,0.755,13.6
42,2004,1,218.0,0,1.63,43.99452464,99.0,37,54.2,0,96.0,3.61,95.0,0.1,3332.918533,8.18,4.2,3.9,0.691,13.4
75,2006,1,288.0,57,0.53,67.70920683,9.0,128,18.5,98,79.0,6.56,78.0,1.8,521.6425796,13.23,9.7,9.5,0.35,6.1
83,2006,1,434.0,78,1.2,58.59644487,75.0,183,18.9,113,73.0,6.51,78.0,16.3,385.7567141,215.47,3.8,3.7,0.353,7.9
66,2004,0,26.0,0,8.81,80.0328375,98.0,0,56.6,0,99.0,6.51,99.0,0.1,6351.8125,22.63,2.5,2.6,0.776,15.5
62,2001,1,131.0,4,0.55,248.697463,97.0,61,54.8,4,97.0,9.9,99.0,0.1,1728.2659,51.93,4.0,3.9,0.706,12.7
33,2012,0,56.0,0,10.55,2159.756205,96.0,1,58.7,0,99.0,7.44,99.0,0.1,28951.15556,1.14,0.9,1.0,0.85,13.8
127,2009,1,183.0,21,2.56,92.81479759,98.0,0,4.0,24,99.0,6.31,98.0,0.2,1213.265328,2.78,3.1,3.1,0.651,11.8
115,2005,1,194.0,10,0.37,19.83672308,81.0,0,33.5,12,79.0,5.89,84.0,0.3,337.359236,68.54,3.8,3.9,0.572,10.6
42,2003,1,22.0,0,1.76,253.8196705,99.0,305,53.2,0,95.0,3.35,94.0,0.1,2835.973972,8.17,4.2,3.9,0.689,13.3
43,2007,1,89.0,3,12.2,64.73714894,42.0,39,58.6,3,99.0,1.45,98.0,0.1,416.58397,64.16,0.6,0.6,0.873,16.1
84,2010,1,29.0,49,0.3,17.48293752,92.0,190,19.8,65,9.0,1.92,9.0,0.5,987.7365832,51.56,13.1,13.3,0.515,8.8
8,2003,1,154.0,7,0.55,42.41491183,51.0,1978,43.6,8,79.0,6.56,77.0,0.1,883.6439965,0.82,3.0,3.0,0.659,10.8
75,2013,1,275.0,53,0.01,36.86104319,69.0,221,22.5,86,7.0,6.58,69.0,1.6,777.659139,164.78,8.1,7.9,0.421,8.0
88,2000,1,192.0,4,3.61,15.25518816,83.0,0,42.8,5,85.0,5.39,83.0,0.4,116.2743,5.27,2.2,2.1,0.562,10.1
113,2011,0,58.0,0,7.4,11477.6671,42.0,26,57.7,0,98.0,11.7,98.0,0.1,59593.28711,94.49,1.4,1.3,0.901,16.0
16,2003,1,693.0,2,5.51,299.3671252,9.0,59,31.6,4,96.0,4.65,96.0,31.9,4163.6596,1.84,1.9,1.8,0.567,11.8
124,2011,1,347.0,76,10.22,94.49686776,82.0,3312,16.7,114,82.0,9.9,82.0,6.8,584.3962137,35.94,5.9,5.9,0.477,10.7
15,2005,1,12.0,0,4.56,45.71354264,93.0,23,5.5,0,95.0,8.5,93.0,0.1,2968.41186,3.78,2.9,2.9,0.0,12.5
127,2006,1,185.0,23,1.96,77.27092119,98.0,823,38.1,27,94.0,5.49,96.0,0.4,654.2838373,26.49,3.2,3.2,0.626,11.8
97,2010,0,13.0,2,10.59,220.4916851,98.0,13,58.4,2,96.0,6.88,99.0,0.1,12599.52486,38.43,2.1,2.2,0.822,15.1
129,2006,1,526.0,33,2.25,1.860003739,81.0,459,18.8,52,83.0,6.11,81.0,15.9,13.154199,123.83,7.0,6.9,0.479,10.9
63,2001,1,284.0,8,5.75,12.60883976,95.0,94,44.4,10,95.0,3.47,95.0,0.1,149.926751,148.58,2.6,2.7,0.685,12.3
127,2005,1,192.0,24,1.78,40.13342094,99.0,737,37.5,28,99.0,5.11,99.0,0.3,546.776852,0.26,3.2,3.2,0.62,11.7
73,2014,1,377.0,27,0.01,59.48744893,91.0,3,19.2,40,87.0,11.38,91.0,5.1,354.7253961,17.69,6.5,6.3,0.466,10.7
121,2002,1,19.0,4,1.17,262.8184944,93.0,98,49.7,5,96.0,5.32,96.0,0.1,2346.5937,98.64,6.5,6.4,0.662,13.3
15,2014,1,89.0,0,4.03,732.8662491,89.0,3000,55.3,0,86.0,9.57,86.0,0.1,5193.94932,0.36,2.4,2.4,0.742,14.2
54,2006,1,161.0,5,3.23,192.9297829,94.0,0,43.5,6,94.0,7.63,95.0,0.8,1437.628785,7.54,2.4,2.4,0.583,10.8
7,2005,0,85.0,0,12.4,5992.588029,86.0,9,52.7,0,86.0,1.53,86.0,0.1,38242.4252,82.28,1.7,1.9,0.848,14.9
37,2013,1,184.0,2,2.42,653.6925016,92.0,0,54.7,2,92.0,6.95,92.0,0.2,3895.664491,6.26,1.6,1.6,0.675,13.2
23,2009,1,373.0,54,5.89,9.042540892,8.0,251,25.4,85,79.0,5.7,8.0,6.3,123.19538,194.33,6.3,6.3,0.473,9.2
7,2009,0,77.0,0,11.3,8053.557638,83.0,49,54.7,0,83.0,11.19,83.0,0.1,47654.18721,83.43,1.7,1.9,0.87,15.3
71,2012,0,7.0,0,11.34,2284.58215,94.0,2,6.1,0,99.0,7.18,99.0,0.1,16749.136,0.54,0.9,0.9,0.892,13.9
92,2013,1,118.0,1,6.89,1694.467075,8.0,0,56.3,1,81.0,8.9,8.0,0.1,11685.97983,38.38,1.9,1.9,0.773,12.9
36,2010,1,134.0,7,3.95,367.9285652,9.0,0,5.7,8,88.0,5.9,91.0,0.1,4657.32361,14.93,1.3,1.2,0.703,13.1
47,2013,1,254.0,38,0.01,28.66897829,9.0,319,27.3,55,91.0,4.63,9.0,0.9,1814.492297,263.46,6.6,6.4,0.57,11.5
91,2010,1,172.0,372,0.04,0.66751505,82.0,4321,21.9,461,82.0,3.2,82.0,0.1,14.142268,17.56,2.2,2.7,0.521,7.5
98,2002,0,17.0,1,12.0,1904.00231,82.0,8,51.7,1,96.0,9.15,98.0,0.1,12882.28897,14.2,0.8,0.6,0.788,15.9
115,2011,1,166.0,10,0.32,51.9919227,96.0,1,37.4,12,97.0,5.98,96.0,0.2,834.5412953,78.16,3.7,3.7,0.608,11.1
124,2004,1,485.0,104,9.89,36.60609252,62.0,141,14.2,164,58.0,8.9,62.0,8.9,288.236949,275.68,6.6,6.6,0.427,11.6
106,2000,1,188.0,0,8.24,601.7608115,98.0,0,27.1,0,98.0,4.62,98.0,0.1,7578.85153,0.81,6.3,6.7,0.0,12.3
119,2001,1,157.0,0,1.35,330.1007394,91.0,4,66.2,0,91.0,5.66,89.0,0.1,1837.977391,0.99,0.1,0.1,0.674,13.2
8,2013,1,121.0,5,2.14,275.6514934,93.0,164,5.6,6,96.0,5.54,93.0,0.1,7875.756953,9.42,2.8,2.8,0.745,11.9
99,2008,0,159.0,2,11.9,128.0805702,97.0,12,55.6,3,95.0,5.33,96.0,0.1,1136.47356,25.38,3.1,3.5,0.78,14.7
88,2003,1,198.0,4,3.77,2.542436908,86.0,0,44.9,5,86.0,6.12,86.0,0.3,115.565314,5.25,2.1,2.0,0.583,11.0
40,2009,1,156.0,0,15.04,1717.088711,95.0,0,57.1,0,95.0,6.93,95.0,0.1,14726.31828,13.35,2.0,2.0,0.836,16.1
73,2005,1,66.0,39,1.04,5.670640102,93.0,184,15.9,62,94.0,8.2,93.0,22.4,28.3673842,13.4,7.4,7.2,0.371,9.7
105,2005,1,135.0,1,9.6,503.1115947,65.0,2,53.9,1,98.0,8.7,98.0,0.1,3528.1318,7.45,2.5,2.6,0.73,13.2
47,2009,1,271.0,41,1.76,30.72290501,94.0,101,24.9,60,94.0,5.17,94.0,2.1,186.76538,23.94,7.3,7.2,0.542,10.4
10,2005,1,252.0,1,11.01,45.65007798,99.0,1,56.7,1,98.0,6.89,99.0,0.1,3126.71767,96.64,2.3,2.5,0.713,14.4
50,2014,1,299.0,27,0.01,50.57976483,51.0,175,22.7,41,42.0,5.64,51.0,0.5,561.997387,1.19,7.5,7.4,0.412,8.6
40,2013,1,127.0,0,0.01,261.2914808,93.0,2,59.0,0,94.0,6.48,94.0,0.1,1929.7746,13.18,1.9,1.9,0.856,16.5
27,2011,1,86.0,2,7.26,211.614293,94.0,6,61.2,2,93.0,7.0,94.0,0.1,1475.69242,171.53,0.8,0.8,0.82,15.4
22,2006,1,216.0,17,2.03,51.50447119,8.0,188,14.3,21,8.0,4.48,8.0,1.1,539.8791529,134.74,11.4,11.6,0.483,10.1
116,2008,1,162.0,11,5.92,609.9511632,98.0,7790,25.7,13,99.0,3.92,99.0,0.3,4378.68746,66.55,8.5,8.6,0.7,12.9
106,2003,1,185.0,0,7.41,843.1186662,99.0,0,28.7,0,99.0,4.64,99.0,0.1,8524.961236,0.83,6.1,6.5,0.713,12.1
0,2011,1,275.0,71,0.01,7.097108703,68.0,3013,17.2,97,68.0,7.87,68.0,0.1,63.537231,29.79,18.2,18.2,0.454,9.5
37,2005,1,213.0,3,2.77,440.6027042,89.0,0,49.4,3,89.0,7.19,89.0,0.2,2835.281237,6.29,1.9,1.8,0.644,12.7
49,2009,1,198.0,12,2.14,445.4423371,92.0,0,46.5,15,92.0,6.79,92.0,0.4,2635.753474,14.32,1.3,1.3,0.596,10.4
31,2003,1,1.0,1,4.04,1070.268999,86.0,1,48.3,1,88.0,8.45,88.0,0.1,4167.71417,41.26,2.2,2.1,0.715,12.1
33,2005,0,65.0,0,11.41,1562.520827,88.0,1,55.3,0,98.0,6.37,98.0,0.1,25324.48666,1.28,0.9,1.0,0.826,13.5
129,2014,1,314.0,28,0.01,196.6675768,86.0,9,22.8,41,78.0,4.99,86.0,4.3,1738.8822,15.63,6.3,6.2,0.57,12.5
15,2006,1,1.0,0,4.82,38.25414065,9.0,17,51.0,0,91.0,8.28,87.0,0.1,344.321698,37.79,2.9,2.8,0.697,12.7
44,2008,1,298.0,2,8.75,11.05422474,82.0,3,32.4,3,81.0,2.54,82.0,8.9,194.2746,15.36,6.8,6.6,0.651,12.4
83,2014,1,375.0,61,0.01,54.91159475,79.0,9,22.2,84,79.0,6.98,79.0,4.1,623.2871141,272.12,3.6,3.5,0.409,9.1
67,2005,1,11.0,1,1.94,630.0540723,77.0,618,6.8,1,74.0,8.42,77.0,0.1,5339.441291,39.87,4.7,4.6,0.0,13.7
129,2005,1,554.0,34,2.33,121.879331,82.0,45,18.4,55,84.0,7.56,82.0,17.0,691.3178164,12.52,7.1,7.0,0.467,10.7
72,2006,1,263.0,36,0.68,38.41870375,82.0,2,16.3,54,83.0,5.11,85.0,0.6,292.157443,18.88,8.0,7.9,0.478,9.0
123,2003,1,231.0,7,2.88,179.6156482,97.0,1,39.4,8,66.0,3.85,83.0,0.1,1283.885977,46.56,3.5,3.4,0.0,10.3
